image,venue,city,state,team,conference,capacity,opened,ref,latitude,longitude
,Chapman Field,Corpus Christi,TX,Texas A&M–Corpus Christi,Southland,750,2002Major renovation 2012,[41],27.709946,-97.3245836
,Bulldog Field,Normal,AL,Alabama A&M,SWAC,500,1997,,34.7803796,-86.5784764
,Wheeler–Watkins Baseball Complex,Montgomery,AL,Alabama State,SWAC,500,2011,,32.3603134,-86.2884093
,Foster Baseball Field at McGowan Stadium,Lorman,MS,Alcorn State,SWAC,500,2010,,31.8754612,-91.1375647
,Torii Hunter Baseball/Softball Complex,Pine Bluff,AR,Arkansas–Pine Bluff,SWAC,1000,2009-11,,34.2547488,-92.016871
,Radiology Associates Field at Jackie Robinson Ballpark,Daytona,FL,Bethune–Cookman[b],SWAC,4200,1914,,29.2092654,-81.0159085
,Moore–Kittles Field,Tallahassee,FL,Florida A&M,SWAC,500,1983,,30.4191944,-84.291012
,Wilbert Ellis Field at Ralph Waldo Emerson Jones Park,Grambling,LA,Grambling,SWAC,1100,2002,,32.5255723,-92.709302
,Braddy Field,Jackson,MS,Jackson State,SWAC,800,2006,,32.2967442,-90.20095049999999
,Magnolia Field,Itta Bena,MS,Mississippi Valley State,SWAC,200,1950,,33.5099142,-90.3448135
,John W. Tankersley Field,Prairie View,TX,Prairie View A&M,SWAC,512,—,[43],,
,Lee–Hines Field,Baton Rouge,LA,Southern,SWAC,1500,1992,,30.5207121,-91.1843378
,MacGregor Park,Houston,TX,Texas Southern,SWAC,500,—,,29.7105806,-95.3391707
,Newman Outdoor Field,Fargo,ND,North Dakota State,Summit,4513,1996,,46.8987317,-96.8037343
,Jackson Field,Greeley,CO,Northern Colorado,Summit,1500,1928,,40.4069254,-104.6863535
,Tal Anderson Field,Omaha,NE,Omaha,Summit,1500,2021,[44],41.23457459999999,-96.0184227
,J. L. Johnson Stadium,Tulsa,OK,Oral Roberts,Summit,2418,1977,,36.0494887,-95.948467
,Koch Diamond,St. Paul,MN,St. Thomas,Summit,250[45],2006,,44.954983,-93.1462529
,Erv Huether Field,Brookings,SD,South Dakota State,Summit,600,2008,,44.32242660000001,-96.77722270000001
,Beaver Field at Jim and Bettie Smith Stadium,Boone,NC,Appalachian State,Sun Belt,1000,2007,[46],36.2111108,-81.6927826
,Tomlinson Stadium–Kell Field,Jonesboro,AR,Arkansas State,Sun Belt,1200,1992,[47],35.8428242,-90.668392
,Springs Brooks Stadium,Conway,SC,Coastal Carolina,Sun Belt,5500,N/A(Rebuilt 2013),,33.7928031,-79.01745749999999
,J. I. Clements Stadium,Statesboro,GA,Georgia Southern,Sun Belt,3000,2005,,32.4287969,-81.7816806
,Georgia State Baseball Complex,Decatur,GA,Georgia State,Sun Belt,1092,1986,,33.6876923,-84.27919860000002
,Eagle Field at Veterans Memorial Park,Harrisonburg,VA,James Madison,Sun Belt,1200,2010,,38.4460382,-78.8773198
,M. L. Tigue Moore Field at Russo Park,Lafayette,LA,Louisiana,Sun Belt,6015,1978renovated 2017,,30.213099,-92.04165499999999
,Warhawk Field,Monroe,LA,Louisiana–Monroe,Sun Belt,1800,1983,,32.5322574,-92.0634407
,Appalachian Power Park,Charleston,WV,Marshall,Sun Belt,4500,2005,,38.3482095,-81.62527639999999
,Linda K. Epling Stadium,Beckley,WV,Marshall,Sun Belt,2500,2010,,37.8150668,-81.1657652
,Bud Metheny Baseball Complex,Norfolk,VA,Old Dominion,Sun Belt,2500,1983,,36.8838422,-76.3097149
,Eddie Stanky Field,Mobile,AL,South Alabama,Sun Belt,4500,1980,,30.6916263,-88.18431720000001
,Pete Taylor Park,Hattiesburg,MS,Southern Miss,Sun Belt,4300,1985,,31.3335725,-89.3380978
,Bobcat Ballpark,San Marcos,TX,Texas State,Sun Belt,2500,2009,,29.8879632,-97.92825189999999
,Riddle–Pace Field,Troy,AL,Troy,Sun Belt,2000,1931,,31.7982637,-85.952973
,Washington Trust Field and Patterson Baseball Complex,Spokane,WA,Gonzaga,West Coast,2300,2007,,47.66270979999999,-117.3989089
,George C. Page Stadium,Los Angeles,CA,Loyola Marymount,West Coast,1200,1983,,33.9666448,-118.4143933
,Klein Family Field,Stockton,CA,Pacific,West Coast,2500,2006,,37.9753026,-121.3159166
,Eddy D. Field Stadium,Malibu,CA,Pepperdine,West Coast,2000,1973,,34.0403085,-118.7109504
,Joe Etzel Field,Portland,OR,Portland,West Coast,1000,1988,,45.5736357,-122.7292523
,Louis Guisto Field,Moraga,CA,Saint Mary's,West Coast,1100,2012,,37.8420163,-122.1118128
,Fowler Park,San Diego,CA,San Diego,West Coast,1700,2013,,32.7757645,-117.1833515
,Dante Benedetti Diamond at Max Ulrich Field,San Francisco,CA,San Francisco,West Coast,2000,1953,,37.7769911,-122.4476556
,Stephen Schott Stadium,Santa Clara,CA,Santa Clara,West Coast,1500,2005,,37.3485007,-121.9315464
,Crutcher Scott Field,Abilene,TX,Abilene Christian,Western Athletic,4000,1991,[48],32.4728976,-99.7068087
,James W. Totman Stadium,Riverside,CA,California Baptist,Western Athletic,800,2007[49],,,
,Brazell Field at GCU Ballpark,Phoenix,AZ,Grand Canyon,Western Athletic,3500,2018,,33.5124741,-112.1334617
,John Smith Field,Sacramento,CA,Sacramento State,Western Athletic,1200,1953,,38.5586042,-121.4267018
,Bannerwood Park,Bellevue,WA,Seattle,Western Athletic,300+,—,,47.5954567,-122.1634694
,Jaycees Field,Nacogdoches,TX,Stephen F. Austin,Western Athletic,1000,2009,,31.6345693,-94.6818237
,Cecil Ballow Baseball Complex,Stephenville,TX,Tarleton,Western Athletic,750[50],1988,,32.2116492,-98.2201017
,Bruce Hurst Field,St. George,UT,Utah Tech[52],Western Athletic,"2,500[53]",1994,,37.09884,-113.565416
,UCCU Ballpark,Orem,UT,Utah Valley,Western Athletic,5000,2005,,40.2772058,-111.717674
,Clay Gould Ballpark,Arlington,TX,UT Arlington,WAC,1600,1974,,32.721909,-97.13105829999999
,UTRGV Baseball Stadium,Edinburg,TX,UTRGV,Western Athletic,4000,2001,,26.3120282,-98.1763814
